"","times","temp","rh","rain","ws","wd","wd_sd","lon","lat","station","YYYY","MM","DD","hh","mm","Datum","Stunde","Minute","T-005","T020","GS200","Akku","Blatt","T005","ss"
"1",2022-01-01,12.6533333333333,97.2716666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,0,0,2022-01-01,0,0,9.37833333333333,NA,0.0416666666666667,0,24.1583333333333,11.885,0
"2",2022-01-01 01:00:00,12.5783333333333,97.43,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,1,0,2022-01-01,1,0,9.35166666666667,NA,0.0416666666666667,0,24.145,11.8116666666667,0
"3",2022-01-01 02:00:00,12.6366666666667,97.1783333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,2,0,2022-01-01,2,0,9.285,NA,0.0766666666666667,0,24.1533333333333,11.8666666666667,0
"4",2022-01-01 03:00:00,12.635,96.2983333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,3,0,2022-01-01,3,0,9.2,NA,0.0616666666666667,0,24.1483333333333,11.8033333333333,0
"5",2022-01-01 04:00:00,12.465,95.7066666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,4,0,2022-01-01,4,0,9.04333333333333,NA,0.0316666666666667,0,24.1383333333333,11.5666666666667,0
"6",2022-01-01 05:00:00,11.6533333333333,92.42,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,5,0,2022-01-01,5,0,8.76333333333333,NA,0.0933333333333333,0,24.13,10.6666666666667,0
"7",2022-01-01 06:00:00,11.6633333333333,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,6,0,2022-01-01,6,0,8.63666666666667,NA,0.688333333333333,0,24.1533333333333,10.8483333333333,0
"8",2022-01-01 07:00:00,11.73,99.5783333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,7,0,2022-01-01,7,0,8.65833333333333,NA,0.476666666666667,0,24.16,11.065,0
"9",2022-01-01 08:00:00,11.8616666666667,95.2766666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,8,0,2022-01-01,8,0,8.645,NA,0.733333333333333,0,24.1483333333333,11.1733333333333,0
"10",2022-01-01 09:00:00,12.1733333333333,87.3583333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,9,0,2022-01-01,9,0,8.64,NA,6.80833333333333,0,24.1466666666667,11.4633333333333,0
"11",2022-01-01 10:00:00,12.565,85.165,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,10,0,2022-01-01,10,0,8.85,NA,28.115,0,24.1416666666667,11.9983333333333,0
"12",2022-01-01 11:00:00,12.6716666666667,84.7983333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,11,0,2022-01-01,11,0,8.95166666666667,NA,39.8366666666667,0,24.1383333333333,12.255,0
"13",2022-01-01 12:00:00,13.13,82.1533333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,12,0,2022-01-01,12,0,9.15166666666667,NA,58.365,0,24.1383333333333,12.8233333333333,0
"14",2022-01-01 13:00:00,13.415,81.285,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,13,0,2022-01-01,13,0,9.485,NA,74.3066666666667,0,24.1483333333333,13.2433333333333,0
"15",2022-01-01 14:00:00,13.5766666666667,79.4916666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,14,0,2022-01-01,14,0,9.62166666666667,NA,87.3116666666667,0,24.155,13.155,0
"16",2022-01-01 15:00:00,13.3233333333333,74.8166666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,15,0,2022-01-01,15,0,9.35833333333333,NA,74.01,0,24.14,12.6033333333333,0
"17",2022-01-01 16:00:00,11.94,80.6016666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,16,0,2022-01-01,16,0,9,NA,12.1533333333333,0,24.1483333333333,10.845,0
"18",2022-01-01 17:00:00,10.3683333333333,91.775,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,17,0,2022-01-01,17,0,8.49333333333333,NA,0.00166666666666667,0,24.1583333333333,7.98166666666667,0
"19",2022-01-01 18:00:00,9.3,98.495,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,18,0,2022-01-01,18,0,8.02666666666667,NA,0,0,24.1516666666667,6.96333333333333,0
"20",2022-01-01 19:00:00,8.94,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,19,0,2022-01-01,19,0,7.69166666666667,NA,0.00333333333333333,0,24.1466666666667,7.08333333333333,0
"21",2022-01-01 20:00:00,8.9,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,20,0,2022-01-01,20,0,7.595,NA,0.0466666666666667,0,24.1283333333333,7.41833333333333,0
"22",2022-01-01 21:00:00,8.57,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,21,0,2022-01-01,21,0,7.37833333333333,NA,0,0,24.1666666666667,7.10166666666667,0
"23",2022-01-01 22:00:00,8.54666666666667,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,22,0,2022-01-01,22,0,7.27333333333333,NA,0.00333333333333333,0,24.16,7.195,0
"24",2022-01-01 23:00:00,8.51,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,1,23,0,2022-01-01,23,0,7.245,NA,0.791666666666667,0,24.15,7.42666666666667,0
"25",2022-01-02,9.36833333333333,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,0,0,2022-01-02,0,0,7.43833333333333,NA,0.256666666666667,0,24.1616666666667,8.53,0
"26",2022-01-02 01:00:00,9.07333333333333,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,1,0,2022-01-02,1,0,7.34166666666667,NA,0,0,24.1616666666667,7.56666666666667,0
"27",2022-01-02 02:00:00,7.81166666666667,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,2,0,2022-01-02,2,0,6.98,NA,0.00166666666666667,0,24.14,4.825,0
"28",2022-01-02 03:00:00,7.60833333333333,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,3,0,2022-01-02,3,0,6.69833333333333,NA,0.0466666666666667,0,24.1516666666667,5.56166666666667,0
"29",2022-01-02 04:00:00,7.80166666666667,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,4,0,2022-01-02,4,0,6.62166666666667,NA,0.0316666666666667,0,24.1683333333333,5.3,0
"30",2022-01-02 05:00:00,9.00166666666667,99.89,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,5,0,2022-01-02,5,0,6.64333333333333,NA,0.00333333333333333,0,24.15,7.74,0
"31",2022-01-02 06:00:00,9.17333333333333,99.8916666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,6,0,2022-01-02,6,0,6.83666666666667,NA,0,0,24.1516666666667,8.06166666666667,0
"32",2022-01-02 07:00:00,9.19,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,7,0,2022-01-02,7,0,6.83333333333333,NA,0.161666666666667,0,24.15,7.96,0
"33",2022-01-02 08:00:00,9.38333333333333,99.9,0.1,0,TRUE,20,9.916,51.41866,1,2022,1,2,8,0,2022-01-02,8,0,6.98666666666667,NA,0,0,24.165,8.49333333333333,0
"34",2022-01-02 09:00:00,9.365,99.9,0.6,0,TRUE,20,9.916,51.41866,1,2022,1,2,9,0,2022-01-02,9,0,7.16666666666667,NA,2.99,0,24.1583333333333,8.61666666666667,0
"35",2022-01-02 10:00:00,9.31166666666667,99.9,0.3,0,TRUE,20,9.916,51.41866,1,2022,1,2,10,0,2022-01-02,10,0,7.29833333333333,NA,18.7066666666667,0,24.1333333333333,8.83666666666667,0
"36",2022-01-02 11:00:00,9.48666666666667,99.9,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,11,0,2022-01-02,11,0,7.47666666666667,NA,29.9283333333333,0,24.1466666666667,9.09,0
"37",2022-01-02 12:00:00,9.99666666666667,99.015,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,12,0,2022-01-02,12,0,7.63333333333333,NA,53.7416666666667,0,24.1666666666667,9.58666666666667,0
"38",2022-01-02 13:00:00,10.655,96.2366666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,13,0,2022-01-02,13,0,7.875,NA,42.3883333333333,0,24.1566666666667,10.1716666666667,0
"39",2022-01-02 14:00:00,11.49,79.12,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,14,0,2022-01-02,14,0,8.04166666666667,NA,87.5866666666667,0,24.1383333333333,10.75,0
"40",2022-01-02 15:00:00,11.295,71.6333333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,15,0,2022-01-02,15,0,7.93,NA,80.6566666666667,0,24.1333333333333,10.4333333333333,0
"41",2022-01-02 16:00:00,11.1633333333333,75.7833333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,16,0,2022-01-02,16,0,7.98833333333333,NA,6.005,0,24.1483333333333,10.4483333333333,0
"42",2022-01-02 17:00:00,10.9183333333333,78.7216666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,17,0,2022-01-02,17,0,7.9,NA,0.085,0,24.155,10.1466666666667,0
"43",2022-01-02 18:00:00,10.755,81.015,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,18,0,2022-01-02,18,0,7.80333333333333,NA,0.035,0,24.1333333333333,9.95666666666667,0
"44",2022-01-02 19:00:00,10.2816666666667,84.2733333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,19,0,2022-01-02,19,0,7.66,NA,0,0,24.135,9.37166666666667,0
"45",2022-01-02 20:00:00,9.98166666666667,86.9983333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,20,0,2022-01-02,20,0,7.34666666666667,NA,0,0,24.1383333333333,8.91,0
"46",2022-01-02 21:00:00,10.1383333333333,87.2616666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,2,21,0,2022-01-02,21,0,7.32666666666667,NA,0.0166666666666667,0,24.15,9.255,0
"47",2022-01-02 22:00:00,10.0533333333333,93.28,0.8,0,TRUE,20,9.916,51.41866,1,2022,1,2,22,0,2022-01-02,22,0,7.625,NA,0,0,24.1483333333333,9.32333333333333,0
"48",2022-01-02 23:00:00,9.08166666666667,99.9,3.9,0,TRUE,20,9.916,51.41866,1,2022,1,2,23,0,2022-01-02,23,0,7.76666666666667,NA,0,0,24.1433333333333,8.38833333333333,0
"49",2022-01-03,8.915,93.7383333333333,1.1,0,TRUE,20,9.916,51.41866,1,2022,1,3,0,0,2022-01-03,0,0,7.53333333333333,NA,1.06,0,24.145,8.11333333333334,0
"50",2022-01-03 01:00:00,9.73833333333334,87.2016666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,3,1,0,2022-01-03,1,0,7.48833333333333,NA,1.38,0,24.1466666666667,8.88833333333333,0
"51",2022-01-03 02:00:00,10.36,80.9166666666667,0.1,0,TRUE,20,9.916,51.41866,1,2022,1,3,2,0,2022-01-03,2,0,7.59833333333333,NA,0.161666666666667,0,24.145,9.485,0
"52",2022-01-03 03:00:00,10.2066666666667,74.5633333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,3,3,0,2022-01-03,3,0,7.45166666666667,NA,0.00666666666666667,0,24.1566666666667,9.22666666666667,0
"53",2022-01-03 04:00:00,10.0266666666667,74.9566666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,3,4,0,2022-01-03,4,0,7.34,NA,0,0,24.14,9.13,0
"54",2022-01-03 05:00:00,9.84166666666667,74.3633333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,3,5,0,2022-01-03,5,0,7.22,NA,0.00666666666666667,0,24.1366666666667,8.95666666666667,0
"55",2022-01-03 06:00:00,9.435,72.8166666666667,0.1,0,TRUE,20,9.916,51.41866,1,2022,1,3,6,0,2022-01-03,6,0,7.00833333333333,NA,0.0166666666666667,0,24.1483333333333,8.39,0
"56",2022-01-03 07:00:00,9.305,73.9683333333333,0.1,0,TRUE,20,9.916,51.41866,1,2022,1,3,7,0,2022-01-03,7,0,6.98833333333333,NA,0.266666666666667,0,24.1483333333333,8.33166666666667,0
"57",2022-01-03 08:00:00,9.60333333333333,69.2716666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,3,8,0,2022-01-03,8,0,6.94,NA,0.15,0,24.1433333333333,8.67166666666667,0
"58",2022-01-03 09:00:00,9.565,67.24,0,0,TRUE,20,9.916,51.41866,1,2022,1,3,9,0,2022-01-03,9,0,6.95333333333333,NA,6.95666666666667,0,24.13,8.725,0
"59",2022-01-03 10:00:00,9.61333333333333,67.1766666666667,0,0,TRUE,20,9.916,51.41866,1,2022,1,3,10,0,2022-01-03,10,0,7.08,NA,65.0933333333333,0,24.1433333333333,9.00666666666667,0
"60",2022-01-03 11:00:00,10.0316666666667,67.1033333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,3,11,0,2022-01-03,11,0,7.42833333333333,NA,90.31,0,24.1516666666667,9.67333333333333,0
"61",2022-01-03 12:00:00,9.235,84.88,0.2,0,TRUE,20,9.916,51.41866,1,2022,1,3,12,0,2022-01-03,12,0,7.57333333333333,NA,52.8633333333333,0,24.1533333333333,8.88,0
"62",2022-01-03 13:00:00,9.08333333333333,94.4083333333333,0.2,0,TRUE,20,9.916,51.41866,1,2022,1,3,13,0,2022-01-03,13,0,7.74666666666667,NA,77.0983333333333,0,24.1416666666667,8.83,0
"63",2022-01-03 14:00:00,9.695,86.9183333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,3,14,0,2022-01-03,14,0,7.765,NA,48.8966666666667,NA,24.1333333333333,9.265,0
"64",2022-01-03 15:00:00,9.85166666666667,79.8783333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,3,15,0,2022-01-03,15,0,7.71333333333333,NA,37.2116666666667,NA,24.1516666666667,9.295,0
"65",2022-01-03 16:00:00,9.66166666666667,78.5933333333333,0,0,TRUE,20,9.916,51.41866,1,2022,1,3,16,0,2022-01-03,16,0,7.515,NA,3.705,NA,24.145,8.90666666666667,0
"66",2022-01-03 17:00:00,8.39666666666667,92.41,1.2,0,TRUE,20,9.916,51.41866,1,2022,1,3,17,0,2022-01-03,17,0,7.28833333333333,NA,0,NA,24.1433333333333,7.64666666666667,0
"67",2022-01-03 18:00:00,7.765,99.03,0.1,0,TRUE,20,9.916,51.41866,1,2022,1,3,18,0,2022-01-03,18,0,7.16,NA,0.0816666666666667,NA,24.1416666666667,7.215,0
"68",2022-01-03 19:00:00,7.94166666666667,99.54,0.3,0,TRUE,20,9.916,51.41866,1,2022,1,3,19,0,2022-01-03,19,0,7.11,NA,0,NA,24.1583333333333,7.35833333333333,0
